Title,Start Date,Bucket,Progress
Potwierdzenie od klienta,2025-08-22,Projekt BWS - Kielce,Not Started
Opracowanie listy zadań z estymacjami w roboczogodzinach,2025-08-22,Projekt BWS - Kielce,Not Started
Przydzielenie zasobów (liczba osób per zadanie),2025-08-22,Projekt BWS - Kielce,Not Started
Zweryfikowanie dostępności i cen paneli na aloweogrodowe.pl,2025-08-23,Projekt BWS - Kielce,Not Started
Określenie wymaganą liczbę paneli i złożenie zamówienia z dostawą do piątku,2025-08-23,Projekt BWS - Kielce,Not Started
Potwierdzenie specyfikacji materiałów,2025-08-24,Projekt BWS - Kielce,Not Started
Zweryfikowanie finalnej liczby kieszeni na rośliny i źródło zakupu,2025-08-24,Projekt BWS - Kielce,Not Started
Przygotowanie planu transportu roślin,2025-08-25,Projekt BWS - Kielce,Not Started
Zorganizowanie noclegów dla zespołu,2025-08-25,Projekt BWS - Kielce,Not Started
Dogadanie ludzi do wykonania paneli i montażu,2025-08-26,Projekt BWS - Kielce,Not Started
Zarezerwowanie samochodu,2025-08-26,Projekt BWS - Kielce,Not Started
Przygotowanie szczegółowego harmonogramu przygotowań i montażu wraz z kamieniami milowymi,2025-08-27,Projekt BWS - Kielce,Not Started
Sprawdzenie stanu zamówionych materiałów i paneli,2025-08-28,Projekt BWS - Kielce,Not Started
Przygotowanie narzędzi i materiałów do montażu,2025-08-28,Projekt BWS - Kielce,Not Started
Pakowanie i przygotowanie do wyjazdu,2025-08-29,Projekt BWS - Kielce,Not Started
Ostateczne potwierdzenie wszystkich szczegółów,2025-08-29,Projekt BWS - Kielce,Not Started
Wyjazd do Kielc,2025-08-30,Projekt BWS - Kielce,Not Started
Rozpoczęcie montażu dekoracji,2025-08-30,Projekt BWS - Kielce,Not Started
Kontynuacja montażu dekoracji,2025-08-31,Projekt BWS - Kielce,Not Started
Sprawdzenie postępów i ewentualne korekty,2025-08-31,Projekt BWS - Kielce,Not Started
Zakończenie montażu dekoracji,2025-09-01,Projekt BWS - Kielce,Not Started
